De ref,school name,management type,constituency,total enrolment,nearest_school,nearest_management_type,nearest_distance,area
1036132,"St Therese of Lisieux Primary School, Belfast",Catholic Maintained,Belfast North,424.0,"Cavehill Primary School, Belfast",Controlled,0.8,1.9
1036140,"St Michael's Primary School, Belfast",Catholic Maintained,Belfast South,417.0,Downey House Preparatory School,Voluntary,0.5,0.9
1036246,"St Joseph's Primary School, Holland Dr",Catholic Maintained,Belfast East,377.0,"Strandtown Primary School, Belfast",Controlled,0.4,0.6
1036388,"St Mary's Primary School, Belfast",Catholic Maintained,Belfast West,132.0,"St Peter's Primary School, Belfast",Catholic Maintained,0.6,1.1
1036466,"St Malachy's Primary School, Belfast",Catholic Maintained,Belfast South,391.0,"Scoil an Droichid, Belfast",Other Maintained,0.6,1.0
1036471,"Sacred Heart Primary School, Belfast",Catholic Maintained,Belfast North,156.0,"Cliftonville Integrated Primary School, Belfast",Controlled Integrated,0.3,0.2
1036505,"St Matthew's Primary School, Belfast",Catholic Maintained,Belfast East,346.0,"Nettlefield Primary School, Belfast",Controlled,0.7,1.4
1036565,St Kevin's Primary School,Catholic Maintained,Belfast West,566.0,"Gaelscoil Na Bhfal, Belfast",Other Maintained,0.6,1.1
1036566,"Holy Family Primary School, Belfast",Catholic Maintained,Belfast North,486.0,"Currie Primary School, Belfast",Controlled,0.3,0.2
1036576,"Holy Child Primary School, Belfast",Catholic Maintained,Belfast West,457.0,"St John the Baptist Primary School, Belfast",Catholic Maintained,0.5,0.9
1036589,"St Teresa's Primary School, Belfast",Catholic Maintained,Belfast West,610.0,"Holy Child Primary School, Belfast",Catholic Maintained,0.6,1.0
1036602,"St Oliver Plunkett Primary School, Belfast",Catholic Maintained,Belfast West,633.0,Bunscoil Phobal Feirste,Other Maintained,0.6,1.1
1036620,"St Peter's Primary School, Belfast",Catholic Maintained,Belfast West,283.0,"St Joseph's Primary School, Slate",Catholic Maintained,0.2,0.2
1036621,"St Joseph's Primary School, Slate",Catholic Maintained,Belfast West,325.0,"St Peter's Primary School, Belfast",Catholic Maintained,0.2,0.2
1036623,"Holy Trinity Primary School, Belfast",Catholic Maintained,Belfast West,645.0,"Gaelscoil na Mona, Belfast",Other Maintained,0.2,0.1
1036624,"St Paul's Primary School, Belfast",Catholic Maintained,Belfast West,336.0,"Springfield Primary School, Belfast",Controlled,0.6,1.2
1036630,"St Clare's Primary School, Belfast",Catholic Maintained,Belfast West,460.0,"Gaelscoil an Lonnain, Belfast",Other Maintained,0.6,1.0
1036688,"St John the Baptist Primary School, Belfast",Catholic Maintained,Belfast West,401.0,"Holy Child Primary School, Belfast",Catholic Maintained,0.5,0.9
1036697,"John Paul II Primary School, Belfast",Catholic Maintained,Belfast West,319.0,"Bunscoil an Tsleibhe Dhuibh, Belfast",Other Maintained,0.5,0.7
1036698,"St Patrick's Primary School, Belfast",Catholic Maintained,Belfast North,428.0,"Bunscoil Mhic Reachtain, Belfast",Controlled,0.4,0.6
1046501,Bunscoil Phobal Feirste,Other Maintained,Belfast West,421.0,"St Oliver Plunkett Primary School, Belfast",Catholic Maintained,0.6,1.1
1046571,"Gaelscoil Na Bhfal, Belfast",Other Maintained,Belfast West,216.0,"Donegall Road Primary School, Belfast",Controlled,0.6,1.0
1046593,"Bunscoil an Tsleibhe Dhuibh, Belfast",Other Maintained,Belfast West,220.0,"John Paul II Primary School, Belfast",Catholic Maintained,0.5,0.7
1046596,Bunscoil Bheann Mhadagain,Other Maintained,Belfast North,199.0,"Cliftonville Integrated Primary School, Belfast",Controlled Integrated,0.2,0.1
1046641,"Scoil an Droichid, Belfast",Other Maintained,Belfast South,191.0,"St Malachy's Primary School, Belfast",Catholic Maintained,0.6,1.0
1046671,"Gaelscoil na Mona, Belfast",Other Maintained,Belfast West,113.0,"Holy Trinity Primary School, Belfast",Catholic Maintained,0.2,0.1
1046672,"Gaelscoil an Lonnain, Belfast",Other Maintained,Belfast West,46.0,"St Peter's Primary School, Belfast",Catholic Maintained,0.3,0.4
1050232,"Harding Memorial Integrated Primary School, Belfast",Controlled Integrated,Belfast South,218.0,Downey House Preparatory School,Voluntary,0.4,0.6
1056483,"Cliftonville Integrated Primary School, Belfast",Controlled Integrated,Belfast North,408.0,Bunscoil Bheann Mhadagain,Other Maintained,0.2,0.1
1056535,"Forge Integrated Primary School, Belfast",Controlled Integrated,Belfast South,394.0,Rosetta Primary School,Controlled,0.2,0.2
1066531,"Hazelwood Integrated Primary School, Newtownabbey",GMI,Belfast North,450.0,"Our Lady of Lourdes Primary School, Belfast",Catholic Maintained,1.0,3.2
1066580,"Cranmore Integrated Primary School, Belfast",GMI,Belfast South,233.0,"Finaghy Primary School, Belfast",Controlled,0.8,1.9
1620020,"Campbell College Junior School, Belfast",Voluntary,Belfast East,203.0,"Strathearn Preparatory School, Belfast",Voluntary,0.5,0.9
1620022,"Fullerton House Preparatory School, Belfast",Voluntary,Belfast South,142.0,"Botanic Primary School, Belfast",Controlled,0.6,1.0
1620023,Downey House Preparatory School,Voluntary,Belfast South,49.0,"Harding Memorial Integrated Primary School, Belfast",Controlled Integrated,0.4,0.6
1620027,Inchmarlo,Voluntary,Belfast South,110.0,"Victoria College Prep Department, Belfast",Voluntary,0.2,0.1
1620028,Ben Madigan Preparatory School,Voluntary,Belfast North,104.0,"Our Lady of Lourdes Primary School, Belfast",Catholic Maintained,0.3,0.3
1620089,"Strathearn Preparatory School, Belfast",Voluntary,Belfast East,131.0,"Belmont Primary School, Belfast",Controlled,0.5,0.8
1620264,"Victoria College Prep Department, Belfast",Voluntary,Belfast South,136.0,Inchmarlo,Voluntary,0.2,0.1
2010380,Londonderry Model Primary School,Controlled,Foyle,281.0,"St Eugene's Primary School, Derry",Catholic Maintained,0.2,0.2
2010382,Ebrington Primary School,Controlled,Foyle,480.0,Oakgrove Integrated Primary School,GMI,0.8,2.1
2011787,Kesh Primary School,Controlled,Fermanagh And South Tyrone,244.0,"St Joseph's Primary School, Ederney",Catholic Maintained,4.4,62.1
2011789,"Moat Primary School, Lisnaskea",Controlled,Fermanagh And South Tyrone,135.0,"St Ronan's Primary School, Lisnaskea",Catholic Maintained,1.3,5.7
2011860,Belleek No 2 Primary School,Controlled,Fermanagh And South Tyrone,32.0,"St Davog's Primary School, Belleek",Catholic Maintained,0.3,0.3
2011873,"Aghadrumsee Primary School, Roslea",Controlled,Fermanagh And South Tyrone,31.0,"St Macartan's Primary School, Roslea",Catholic Maintained,1.0,3.3
2011879,Newtownbutler Primary School,Controlled,Fermanagh And South Tyrone,30.0,"St Mary's Primary School, Newtownbutler",Catholic Maintained,0.9,2.6
2011881,Florencecourt Primary School,Controlled,Fermanagh And South Tyrone,140.0,"St Mary's Primary School, Killesher",Catholic Maintained,1.7,8.8
2011893,Ballinamallard Primary School,Controlled,Fermanagh And South Tyrone,153.0,"Queen Elizabeth II Primary School, Kilskeery",Controlled,4.2,55.6
2011894,Brookeborough Primary School,Controlled,Fermanagh And South Tyrone,64.0,"St Mary's Primary School, Brookeborough",Catholic Maintained,0.2,0.2
2011899,Derrygonnelly Primary School,Controlled,Fermanagh And South Tyrone,57.0,"St Patrick's Primary School, Derrygonnelly",Catholic Maintained,0.9,2.6
2012052,Culmore Primary School,Controlled,Foyle,55.0,"Hollybush Primary School, Culmore",Catholic Maintained,0.6,1.0
2012095,Ballougry Primary School,Controlled,Foyle,38.0,Newbuildings Primary School,Controlled,2.1,14.1
2012227,Drumahoe Primary School,Controlled,Foyle,277.0,"Ashlea S, Tullyally",Controlled,1.0,3.2
2012245,Eglinton Primary School,Controlled,Foyle,204.0,"Broadbridge Primary School, Eglinton",Catholic Maintained,0.6,1.2
2012261,Newbuildings Primary School,Controlled,Foyle,183.0,"St Columba's Primary School, Newbuildings",Catholic Maintained,0.2,0.2
2012298,Ballykelly Primary School,Controlled,East Londonderry,293.0,"St Finlough's Primary School, Sistrakeel",Catholic Maintained,2.9,26.2
2012344,"McClintock Primary School, Seskinore",Controlled,West Tyrone,119.0,"Sacred Heart Primary School, Tattyreagh",Catholic Maintained,3.5,39.1
2012638,"Edwards Primary School, Castlederg",Controlled,West Tyrone,249.0,"St Patrick's Primary School, Castlederg",Catholic Maintained,0.7,1.6
2012641,"Killen Primary School, Castlederg",Controlled,West Tyrone,140.0,"Edwards Primary School, Castlederg",Controlled,4.6,66.2
2012648,"Gillygooley Primary School, Omagh",Controlled,West Tyrone,19.0,"St Conor's Primary School, Omagh",Catholic Maintained,4.2,56.7
2012660,"Denamona Primary School, Fintona",Controlled,West Tyrone,78.0,"St Lawrence's Primary School, Fintona",Catholic Maintained,0.9,2.3
2012669,"Queen Elizabeth II Primary School, Kilskeery",Controlled,West Tyrone,38.0,"St Scire's Primary School, Trillick",Catholic Maintained,3.3,33.4
2012671,"Langfield Primary School, Drumquin",Controlled,West Tyrone,18.0,"St Joseph's Primary School, Drumquin",Catholic Maintained,0.7,1.3
2012691,Omagh County Primary School,Controlled,West Tyrone,376.0,"Gibson Primary School, Omagh",Controlled,0.4,0.6
2012707,"Dromore Primary School, Tyrone",Controlled,West Tyrone,38.0,"St Dympna's Primary School, Dromore",Catholic Maintained,1.0,3.0
2012708,Strabane Primary School,Controlled,West Tyrone,272.0,St Catherine’s Primary School,Catholic Maintained,1.0,3.4
2012711,"Donemana Primary School, Strabane",Controlled,West Tyrone,101.0,"St Michael's Primary School, Dunamanagh",Catholic Maintained,0.9,2.3
2016003,"Jones Memorial Primary School, Enniskillen",Controlled,Fermanagh And South Tyrone,136.0,"Holy Trinity Primary School, Mill Street",Catholic Maintained,2.6,21.3
2016029,"Drumachose Primary School, Limavady",Controlled,East Londonderry,410.0,"Gaelscoil Leim An Mhadaidh, Limavady",Other Maintained,0.2,0.1
2016068,"Artigarvan Primary School, Strabane",Controlled,West Tyrone,170.0,"St Mary's Primary School, Cloughcor",Catholic Maintained,2.7,23.7
2016071,Greenhaw Primary School,Controlled,Foyle,321.0,"St Patrick's Primary School, Pennyburn",Catholic Maintained,0.1,0.0
2016089,"Gibson Primary School, Omagh",Controlled,West Tyrone,303.0,Omagh County Primary School,Controlled,0.4,0.6
2016102,Tempo Primary School,Controlled,Fermanagh And South Tyrone,84.0,"St Mary's Primary School, Tempo",Catholic Maintained,1.0,3.0
2016124,"Ashlea S, Tullyally",Controlled,Foyle,101.0,Drumahoe Primary School,Controlled,1.0,3.2
2016127,Maguiresbridge Primary School,Controlled,Fermanagh And South Tyrone,122.0,"St Mary's Primary School, Maguiresbridge",Catholic Maintained,1.7,8.8
2016151,Irvinestown Primary School,Controlled,Fermanagh And South Tyrone,173.0,"St Paul's Primary School, Irvinestown",Catholic Maintained,0.3,0.4
2016152,Enniskillen Model Primary School,Controlled,Fermanagh And South Tyrone,426.0,"Holy Trinity Primary School, Mill Street",Catholic Maintained,1.6,8.1
2016184,"Lack Primary School, Enniskillen",Controlled,Fermanagh And South Tyrone,22.0,"St Joseph's Primary School, Ederney",Catholic Maintained,5.4,91.6
2016203,Lisnagelvin Primary School,Controlled,Foyle,572.0,"Chapel Road Primary School, Londonderry",Catholic Maintained,1.2,4.2
2016218,Lisbellaw Primary School,Controlled,Fermanagh And South Tyrone,199.0,"Tattygar Primary School, Lisbellaw",Catholic Maintained,1.2,4.3
2016262,Newtownstewart Model Primary School,Controlled,West Tyrone,70.0,"St Patrick's Primary School, Newtownstewart",Catholic Maintained,0.9,2.5
2016372,Cumber Claudy Primary School,Controlled,East Londonderry,147.0,"St Colmcille's Primary School, Claudy",Catholic Maintained,0.6,1.1
2016395,"Gortin Primary School, Omagh",Controlled,West Tyrone,63.0,"St Patrick's Primary School, Gortin",Catholic Maintained,0.6,1.2
2016426,Limavady Central Primary School,Controlled,East Londonderry,316.0,"Roe Valley Integrated Primary School, Limavady",GMI,0.9,2.5
2016564,"Fountain Primary School, Londonderry",Controlled,Foyle,77.0,Longtower Primary School,Catholic Maintained,0.5,0.7
2016645,"Bready Jubilee Primary School, Strabane",Controlled,West Tyrone,121.0,"St Mary's Primary School, Cloughcor",Catholic Maintained,4.7,70.3
2016656,"Drumrane Primary School, Dungiven",Controlled,East Londonderry,141.0,"Gaelscoil Neachtain, Dungiven",Controlled,1.5,7.3
2016663,"Cooley Primary School, Sixmilecross",Controlled,West Tyrone,90.0,"St Oliver Plunkett Primary School, Beragh",Catholic Maintained,3.3,34.2
2016700,"Gaelscoil Neachtain, Dungiven",Controlled,East Londonderry,154.0,"Drumrane Primary School, Dungiven",Controlled,1.5,7.3
2016701,Ardstraw Jubilee Primary School,Controlled,West Tyrone,88.0,Newtownstewart Model Primary School,Controlled,3.2,31.4
2030364,Rosemount Primary School,Catholic Maintained,Foyle,375.0,Londonderry Model Primary School,Controlled,0.4,0.6
2030373,Nazareth House Primary School,Catholic Maintained,Foyle,228.0,"Gaelscoil Eadain Mhoir, Derry",Other Maintained,0.3,0.3
2030381,"Holy Child Primary School, Derry",Catholic Maintained,Foyle,324.0,"St John's Primary School, Bligh's Lane",Catholic Maintained,0.5,0.6
2031828,"St Patrick's Primary School, Mullanaskea",Catholic Maintained,Fermanagh And South Tyrone,175.0,"Tattygar Primary School, Lisbellaw",Catholic Maintained,3.9,48.9
2031863,"Tattygar Primary School, Lisbellaw",Catholic Maintained,Fermanagh And South Tyrone,59.0,Lisbellaw Primary School,Controlled,1.2,4.3
2031868,"St Tierney's Primary School, Roslea",Catholic Maintained,Fermanagh And South Tyrone,120.0,"St Macartan's Primary School, Roslea",Catholic Maintained,5.4,91.6
2031869,"St Mary's Primary School, Newtownbutler",Catholic Maintained,Fermanagh And South Tyrone,176.0,Newtownbutler Primary School,Controlled,0.9,2.6
2031874,"St Patrick's Primary School, Derrygonnelly",Catholic Maintained,Fermanagh And South Tyrone,129.0,Derrygonnelly Primary School,Controlled,0.9,2.6
2031876,"St Mary's Primary School, Brookeborough",Catholic Maintained,Fermanagh And South Tyrone,65.0,Brookeborough Primary School,Controlled,0.2,0.2
2031880,"St Ninnidh's Primary School, Derrylin",Catholic Maintained,Fermanagh And South Tyrone,143.0,"St Naile's Primary School, Kinawley",Catholic Maintained,5.2,84.7
2031884,"St Mary's Primary School, Killesher",Catholic Maintained,Fermanagh And South Tyrone,86.0,Florencecourt Primary School,Controlled,1.7,8.8
2031887,"St John the Baptist Primary School, Roscor",Catholic Maintained,Fermanagh And South Tyrone,22.0,Belleek No 2 Primary School,Controlled,3.7,43.1
2031890,"St Mary's Primary School, Mullymesker",Catholic Maintained,Fermanagh And South Tyrone,136.0,Florencecourt Primary School,Controlled,3.5,38.5
2031895,"St Mary's Primary School, Maguiresbridge",Catholic Maintained,Fermanagh And South Tyrone,157.0,Maguiresbridge Primary School,Controlled,1.7,8.8
2031897,"Killyhommon Primary School, Enniskillen",Catholic Maintained,Fermanagh And South Tyrone,72.0,Derrygonnelly Primary School,Controlled,6.1,116.3
2031898,"St Paul's Primary School, Irvinestown",Catholic Maintained,Fermanagh And South Tyrone,232.0,Irvinestown Primary School,Controlled,0.3,0.4
2031901,"St Ronan's Primary School, Lisnaskea",Catholic Maintained,Fermanagh And South Tyrone,355.0,"Bunscoil an Traonaigh, Lisnaskea",Other Maintained,0.7,1.6
2032212,Glendermott Primary School,Catholic Maintained,Foyle,199.0,Drumahoe Primary School,Controlled,1.6,7.6
2032263,"St Canice's Primary School, Feeny",Catholic Maintained,East Londonderry,96.0,"St Mary's Primary School, Altinure",Catholic Maintained,4.5,63.5
2032278,"Broadbridge Primary School, Eglinton",Catholic Maintained,Foyle,403.0,Eglinton Primary School,Controlled,0.6,1.2
2032286,"St Matthew's Primary School, Drumsurn",Catholic Maintained,East Londonderry,108.0,"Gaelscoil Neachtain, Dungiven",Controlled,4.9,75.4
2032287,"Termoncanice Primary School, Limavady",Catholic Maintained,East Londonderry,502.0,"Drumachose Primary School, Limavady",Controlled,0.7,1.4
2032294,"St Mary's Primary School, Altinure",Catholic Maintained,East Londonderry,124.0,"St Canice's Primary School, Feeny",Catholic Maintained,4.5,63.5
2032573,"St Brigid's Primary School, Altamuskin",Catholic Maintained,West Tyrone,48.0,"Cooley Primary School, Sixmilecross",Controlled,4.3,57.9
2032603,"Tummery Primary School, Dromore",Catholic Maintained,West Tyrone,40.0,"Knocknagor Primary School, Trillick",Catholic Maintained,2.1,13.2
2032607,"St Mary's Primary School, Killyclogher",Catholic Maintained,West Tyrone,332.0,"Gaelscoil Na gCrann, Omagh",Other Maintained,1.5,6.6
2032628,"Knocknagor Primary School, Trillick",Catholic Maintained,West Tyrone,49.0,"Tummery Primary School, Dromore",Catholic Maintained,2.1,13.2
2032662,"St Brigid's Primary School, Mountfield",Catholic Maintained,West Tyrone,62.0,"St Teresa's Primary School, Loughmacrory",Catholic Maintained,5.3,86.7
2032676,"St Patrick's Primary School, Gortin",Catholic Maintained,West Tyrone,84.0,"Gortin Primary School, Omagh",Controlled,0.6,1.2
2032682,"St Eugene's Primary School, Victoria Bridge",Catholic Maintained,West Tyrone,73.0,Sion Mills Primary School,Controlled Integrated,2.9,27.2
2032684,"St Lawrence's Primary School, Fintona",Catholic Maintained,West Tyrone,237.0,"Denamona Primary School, Fintona",Controlled,0.9,2.3
2032685,"St Brigid's Primary School, Cranagh",Catholic Maintained,West Tyrone,25.0,"St Mary's Primary School, Altinure",Catholic Maintained,9.6,289.2
2032688,"St Eugene's Primary School, Tircur",Catholic Maintained,West Tyrone,18.0,"Gortin Primary School, Omagh",Controlled,5.6,98.4
2032694,"St Caireall's Primary School, Castlederg",Catholic Maintained,West Tyrone,133.0,"Killen Primary School, Castlederg",Controlled,5.3,89.5
2032700,"St Joseph's Primary School, Drumquin",Catholic Maintained,West Tyrone,144.0,"Langfield Primary School, Drumquin",Controlled,0.7,1.3
2032704,"St Ronan's Primary School, Recarson",Catholic Maintained,West Tyrone,117.0,"Gaelscoil Na gCrann, Omagh",Other Maintained,1.3,5.3
2032705,"St Patrick's Primary School, Eskra",Catholic Maintained,West Tyrone,112.0,"Roscavey Primary School, Beragh",Catholic Maintained,3.7,43.0
2032721,"Sacred Heart Primary School, Tattyreagh",Catholic Maintained,West Tyrone,82.0,"McClintock Primary School, Seskinore",Controlled,3.5,39.1
2032723,"Roscavey Primary School, Beragh",Catholic Maintained,West Tyrone,53.0,"St Patrick's Primary School, Eskra",Catholic Maintained,3.7,43.0
2032730,"St Columba's Primary School, Clady",Catholic Maintained,West Tyrone,93.0,"St Theresa's Primary School, Glebe",Catholic Maintained,2.7,23.0
2032731,"St Teresa's Primary School, Loughmacrory",Catholic Maintained,West Tyrone,182.0,"St Brigid's Primary School, Mountfield",Catholic Maintained,5.3,86.7
2032737,"St Colmcille's Primary School, Carrickmore",Catholic Maintained,West Tyrone,415.0,"St Teresa's Primary School, Loughmacrory",Catholic Maintained,5.4,91.1
2033706,"Faughanvale Primary School, Greysteel",Catholic Maintained,East Londonderry,165.0,"Broadbridge Primary School, Eglinton",Catholic Maintained,4.5,62.4
2033708,"St Aidan's Primary School, Limavady",Catholic Maintained,East Londonderry,60.0,"Hezlett Primary School, Coleraine",Controlled,8.0,201.5
2036008,"St Patrick's Primary School, Newtownstewart",Catholic Maintained,West Tyrone,100.0,Newtownstewart Model Primary School,Controlled,0.9,2.5
2036032,"St John's Primary School, Bligh's Lane",Catholic Maintained,Foyle,415.0,"Holy Child Primary School, Derry",Catholic Maintained,0.5,0.6
2036045,"St Canice Primary School, Dungiven",Catholic Maintained,East Londonderry,281.0,"St John's Primary School, Dernaflaw",Catholic Maintained,3.4,37.0
2036069,"St Anne's Primary School, Londonderry",Catholic Maintained,Foyle,340.0,Rosemount Primary School,Catholic Maintained,0.5,0.7
2036070,"St Joseph's Primary School, Ederney",Catholic Maintained,Fermanagh And South Tyrone,143.0,Kesh Primary School,Controlled,4.4,62.1
2036082,"St Colmcille's Primary School, Claudy",Catholic Maintained,East Londonderry,252.0,Cumber Claudy Primary School,Controlled,0.6,1.1
2036084,"Steelstown Primary School, Londonderry",Catholic Maintained,Foyle,474.0,"Bunscoil Cholmcille, Derry",Catholic Maintained,0.0,0.0
2036085,"St Peter's & St Paul's Primary School, Dungiven",Catholic Maintained,East Londonderry,53.0,"St John's Primary School, Dernaflaw",Catholic Maintained,4.1,52.7
2036090,"St Naile's Primary School, Kinawley",Catholic Maintained,Fermanagh And South Tyrone,105.0,"St Mary's Primary School, Killesher",Catholic Maintained,4.3,58.2
2036094,"St Patrick's Primary School, Castlederg",Catholic Maintained,West Tyrone,308.0,"Edwards Primary School, Castlederg",Controlled,0.7,1.6
2036095,"St Mary's Primary School, Cloughcor",Catholic Maintained,West Tyrone,140.0,"Artigarvan Primary School, Strabane",Controlled,2.7,23.7
2036097,"St Peter's Primary School, Plumbridge",Catholic Maintained,West Tyrone,79.0,"Gortin Primary School, Omagh",Controlled,5.6,99.2
2036105,"St Martin's Primary School, Garrison",Catholic Maintained,Fermanagh And South Tyrone,107.0,"St John the Baptist Primary School, Roscor",Catholic Maintained,6.2,121.4
2036107,"St Joseph's Primary School, Donagh",Catholic Maintained,Fermanagh And South Tyrone,69.0,Newtownbutler Primary School,Controlled,4.0,50.0
2036116,"St Conor's Primary School, Omagh",Catholic Maintained,West Tyrone,443.0,"Holy Family Primary School, Omagh",Catholic Maintained,1.0,3.2
2036142,"St Brigid's Primary School, Carnhill",Catholic Maintained,Foyle,396.0,Greenhaw Primary School,Controlled,0.3,0.3
2036143,"St Oliver Plunkett Primary School, Strathfoyle",Catholic Maintained,Foyle,166.0,Culmore Primary School,Controlled,1.8,10.4
